fc_company_name,fc_logo_url,fc_website,fc_approx_employees,fc_founded,fc_overview,fc_address_line1,fc_address_line2,fc_address_locality,fc_address_region_name,fc_address_postal_code,fc_address_country_name,fc_company_description,final_grade,unnatural_link,spam_score,trust_metrics,link_popularity,rank,industry_ranking,inc_ranking,Industry,revenue
Nerium International,https://d2ojpxxtu63wzl.cloudfront.net/static/6072be00994cf7206bf57c6d7ae4ab08_04873f4e49835f004ba827a9bca611bca8de7010ba661d4ab1a7a158ea1a3d9d,http://mynerium.com,500,2011,"Beauty, Dallas, Lexus, Sales, Skin Care",,,,,,,"From our humble beginnings to being the largest corporate sponsor of Big Brothers Big Sisters, we’re sure you’ll agree that Nerium has a commitment to impact as many people as possible.",F,A,F,F,D,369,32,12,Consumer Products & Services,403
XOOM Energy,https://d2ojpxxtu63wzl.cloudfront.net/static/42ad5be1183bc7efceb47828b7535b8a_009aafed53f64fa4d7f2411f4bba24ab348c27d799e1495e02cff6004a230b69,http://xoomenergy.com,51-200 employees,2011,"California, Charlotte, Connecticut, Delaware, Electricity Provider, Electrity Company, Energy, Illinois, Indiana, Kentucky, Maine, Maryland, Massachusetts, Michigan, Natural Gas, Ohio, Pennsylvania, Personal Development, Power Company, Switch to Xoom, Texas, Utilities, Utility Company, Xomm.com, Xooom.com",,,,,,,"Hi! We’re XOOM Energy.We're into energy; reliable energy, clean energy, positive energy and most of all, YOUR energy.",B,F,A,C,D,84,1,13,Energy,293.1
Adore me,https://d2ojpxxtu63wzl.cloudfront.net/static/ee5fc7ed11053e79f1f1e2f89a0d5084_3c340a642fec929d265302babf76e94a9af2cd784537fefefbfd4148525fe3b9,http://adoreme.com,100,2011,"Adore, Celebrities, Corsets, Cosmetics, E-Commerce, Entertainment, Fashion, Lingerie, Lobbying, Plus Size Lingerie, Push-up Bras, Skin Care, Sleepwear",,,,,,,"Adore Me is a vertically integrated, fast-fashion brand of women’s intimates and apparel, currently shaking up the lingerie industry by offering designer styles at a revolutionary price point.",A,A,B,B,D,36,6,14,Retail,16
eLuxurySupply,https://d2ojpxxtu63wzl.cloudfront.net/static/77fee21b9e2bd1b86a7a955d5230683a_84920cb01affd5398caff4e045629492c9f2fda28376d5d2d1fa802a25141bb6,http://eluxurysupply.com,51-200 employees,2009,"Home Goods Store, Operated company, Retail",,,,,,,"eLuxurySupply.com is a United States Veteran Owned and Operated company operating out of Evansville, Indiana. Countless hours of hard work and determination, as well as a little luck, have helped eLuxurySupply.com to become one of the internet’s most trusted and successful specialty linen providers.",C,F,D,D,D,156,14,15,Retail,18.2
Goldco Precious Metals,https://d2ojpxxtu63wzl.cloudfront.net/static/788197ee13986dbaac7850683bb7c820_349e15695eace4b16462ee89f25acc148385612650493b6042747b16c9bbd5c7,http://goldcopreciousmetals.com,11-50 employees,2006,Financial Services,,,,,,,"At Goldco Precious Metals, we know that when it comes to precious metals, the number one factor that contributes to our clients’ financial success is time. We take the time to understand each individual’s goals and objectives, and give them the information and resources they need to build a precious metals portfolio that will help them reach their goals. Whether its acquiring physical gold and silver for direct investment, or setting up a Gold IRA or Silver IRA through our IRA program, Goldco Precious Metals promises each of our clients the personal attention and respect they deserve when making such an important financial decision.",C,A,D,C,D,201,11,16,Financial Services,28.5
"Access Point Financial, Inc.",https://d2ojpxxtu63wzl.cloudfront.net/static/9e270b2bc61e889c26719260ec370599_a425256edd44bb52e10869fb8bed9295552c18affe0f4af7e7f39cd827153710,http://accesspointfinancial.com,30,2011,Financial Services,,,,,,,"Access Point Financial is a specialty hotel finance company. Offering a full-service hospitality lending and advisory platform, APF provides financing to qualified franchisees of major hotel brands and independent boutique hotels throughout the United States and Canada. APF provides tailored loan and capital lease programs to meet the specific needs of each client.",D,F,A,F,F,299,19,17,Financial Services,29
"Rant, Inc",http://www.accesspointfinancial.com/wp-content/themes/web_2015/images/footer-logo.png,http://rant-inc.com,11-50 employees,2010,Online Media,,,,,,,"Rant, Inc. and its expanding internet property lineup has established itself as a leading innovator in online media consumption. Known for the well-established brand RantSports, Rant has recently launched RantLifestyle and RantChic to expand its reach toward the areas of lifestyle, fitness, exercise, entertainment and celebrities.",C,A,D,D,D,199,4,18,Media,17.2
Aarki,https://d2ojpxxtu63wzl.cloudfront.net/static/a51bf7dc801ef49b01698727e28275f9_da8f729b5ed732237c89e854880bcd39984512d20ab76fa547d71bc25a6d62f6,http://aarki.com,150,2010,"Leadership, Mobile Applications, Venture Capital, Video Games",,,,,,,"Aarki is transforming mobile app marketing through unified optimization of creative and media. It delivers superior results using proprietary machine learning technology for performance optimization. The company's customer base includes leading brands, agencies, and app developers. ",F,A,A,D,D,423,55,19,Advertising & Marketing,31.6
Aseptia,https://d2ojpxxtu63wzl.cloudfront.net/static/8706d01a89efd73b4a9059d2326f4325_b9c0fb5636e462e9491e519a8291698dfec1c6e8d9817b5e918a624006fdfaf0,http://aseptia.com,8,2006,"Food Delivery, Food Processing, Manufacturing",,,,,,,"Aseptia, Inc. commercializes continuous flow microwave sterilization processes. Aseptia, Inc. was formerly known as Ultraseptics, Inc. The company was founded in 2006 and is based in Raleigh, North Carolina.Wright Foods is a subsidiary of Aseptia, Inc.",F,A,A,D,F,469,19,20,Food & Beverage,23.6
Tatcha,https://d2ojpxxtu63wzl.cloudfront.net/static/e9a492651f299d4d27bff0150eac1834_6f01be34f5dac66ad396c55735f8f6cd486d78afd8dd7c6c665fc2dd34ae88a6,http://tatcha.com,100,2009,"Beauty, Cosmetics, E-Commerce, Geisha, Japanese Beauty Products, Kyoto, QVC, Retail, Sephora, Shopping, Skin Care",,,,,,,"TATCHA was founded by Victoria Tsai to share the geisha's wisdom with modern women everywhere, and to further the belief that true beauty begins with the heart and the mind.",A,A,A,B,C,13,2,21,Retail,12
iCracked Inc.,https://d2ojpxxtu63wzl.cloudfront.net/static/e3d7a34adf438965c5b36b6470083382_230df16ddfca8745d10ad782f39ddcfb6735df5868401fa86a89312ea5a6b370,http://icracked.com,250,2010,"Apple, Computers, E-Commerce, Finance, Journalism, Location Based Services, Management, Mobile, Samsung, Small and Medium Businesses, Web Development",,,,,,,iCracked is an online electronics repair and trade-in company focused on iOS products. The Redwood City-based company was founded in 2010 and serves customers across the United States and in 11 other countries.,A,D,A,C,F,42,11,22,Consumer Products & Services,15
Vantage Point Corp.,https://d2ojpxxtu63wzl.cloudfront.net/static/92f48b1809445473e2020e61c7ce8ac4_50dac1567c017b7b77102e9277a44b1f064b2f866c84d6dd3040c0627980ac92,http://vpcinnovations.com,11-50 employees,2010,"Tech Hardware Products, Software Sales, Entertainment Technology",,,,,,,"Vantage Point Corporation (VPC) is a direct technology provider or direct marketing reseller (DMR). DMRs are large multi-vendor IT providers that rely heavily on the Web and Telephone to sell to their customers. VPC offers competitive prices along with a rapid delivery times, knowledgeable account executives and courteous helpful support. We offer hundreds of brand names and do not favor one brand over another. We simply offer the best solution to fit our customer’s IT needs.",F,A,D,F,F,428,3,23,Computer Hardware,21.5
Apeks Supercritical,http://www.apekssupercritical.com/wp-content/themes/apeks/img/logo.png,http://apekssupercritical.com,30,2001,"Business, Cannabis, Medical Marijuana, Movies, NORML",,,,,,,"Since 2001, Apeks Supercritical has been designing, refining, and manufacturing botanical oil extraction systems utilizing subcritical and supercritical CO2 — a cleaner, safer, purer, and faster way to extract plant oils. Constructed by a team of experienced engineers and fabricators, systems range from Introductory to High Production systems, expandable up to 80-liters.",C,F,A,F,D,147,3,24,Manufacturing,9
Acordis International Corp,https://d2ojpxxtu63wzl.cloudfront.net/static/36e12fbc7d4274425807833f447172d0_59e2a1c09bebcf8a597585404a8a4210a6a71446c20ceec288938b4ce5403b0e,http://acordiscorp.com,30,2008,"Acer, And Others., Aruba Network, Barracuda, Canon, Cisco, Copiers Miami, Digital Signage Miami, EMC, F5 Networks, Fujitsu, GFI, HP, IBM, Information Technology and Solutions Miami, LG, Lenovo, Lifesize, Microsoft, NEC, Nuance, Planar, Printers Miami, SAP, Samsung, Sharp, Sony, VMware, Xerox",,,,,,,"Acordis is a Florida corporation with headquarters in Miramar, Florida. Founded in 2008, today Acordis services over one thousand customers and clients nationwide. We are best known for our expertise, performance, and knowledge in Data Management, Infrastructure Management, Collaboration, Data & Enterprise Networks, Managed IT Services, Digital Signage, IT Security, Document Management, MFP products and more.",F,A,B,D,D,447,27,25,IT Services,9.9
HighPoint Global,https://d2ojpxxtu63wzl.cloudfront.net/static/aba5ff672b5e717670b1edd01aeb02f6_06f37e010db1dfe2831c3e41d3c7addd0369aba21c4765f6a6b8582f89379fd4,http://highpointglobal.com,500,2006,"Autism, Healthcare Reform, Washington, Zappos",,,,,,,"We are the citizen experience company dedicated to helping government agencies improve the citizen journey for their clients, one touchpoint at a time. In the 21st century, when time is tight and interactions with citizens are short, we provide strategic solutions to help agencies make each interaction as positive as it can be. HighPoint knows that each phone call, email, tweet and moment standing in line matters—to agencies and to the citizens they serve.",C,A,A,F,F,212,2,26,Government Services,95.4
SkyRocket Media LLC,https://d2ojpxxtu63wzl.cloudfront.net/static/abe4e607ae91af9b618bccfad57879eb_17d372326690b698114285e0aa6ebcd2fd17a37ab6105dd8fcdb9afe1881a7a3,http://skyrocketnow.com,30,2009,"Celebrities, Journalism, Leadership, Management, The White House",,,,,,,"SkyRocket Media is a multi-faceted internet property conglomerate nestled within the silicon slopes of Pleasant Grove Utah. With web properties that empower millions of online consumers to make better online decisions their online properties span hundreds of industry categories, and provide significant customer acquisition streams for small, mid-size, and fortune 500 businesses.",F,A,D,F,F,395,49,27,Advertising & Marketing,11.8
InvitedHome,https://d2ojpxxtu63wzl.cloudfront.net/static/5b2a3d3e6d549388f86912d434095ede_1b09367690e55ee1fabf24bfc634e79c44c3f6290a853eefbe02504120852244,http://invitedhome.com,150,2009,"Curated Web, Finance, Management, Real Estate, Venture Capital, Weather, Wine",,,,,,,"InvitedHome set out to transform the vacation rental experience by combining the high standards and service of fine hotels with beautiful private homes in amazing destinations. And that’s just what we’ve done. With more than 80 location-based employees, 24/7 guests services and effortless online reservations, we manage 200+ handpicked homes in must-do destinations across the country. Discover why more than 50,000 people create lasting memories with InvitedHome every year. Visit InvitedHome.com for more.",C,C,F,D,F,188,1,28,Travel & Hospitality,11.3
Allscreen,http://www.allscreen.tv/assets/logo-75e2288b9be55b4725addad1ba2cf9feddae03659a5515b328ad0c6a1b19eadc.svg,http://allscreenhq.com,1,2009,"Content Syndication, Online Video Ads, Online Video Syndication, Video Ads, Video Player, Video Syndication",,,,,,,"Allscreen distributes branded video content to places like Twitter, CNN, Fox, and Facebook to help build an audience for advertisers and publishers.",D,A,F,F,F,287,41,29,Advertising & Marketing,10.8
"ZZW Global, Inc.",http://www.zzwglobal.com/sites/zzw/templates/default/images/logo.png,http://zzwglobal.com,11-50 employees,2010,"Oil and Gas field services, Corporate Office",,,,,,,ZZW Global is a privately held company and an industry leader for Oil and Gas field services specializing in meeting our customers' immediate and ongoing needs by working with a network of tru_sted partners. We provide everything from consulting and project supervision to transports and hot oil trucks. ZZW has the largest completely certified and compliant wash crew in the state. Our customers trust us to coordinate and manage multiple services for them at fair and competitive rates while upholding ethics and professionalism.,F,A,A,F,F,479,13,30,Energy,8.6
Plant Therapy,https://d2ojpxxtu63wzl.cloudfront.net/static/2c96aacf6bfcf515b82287c1d0229153_e81a35efc134b200caa3c09b1483ed62ce79e73a26ff894d277be26ee1ed1225,http://planttherapy.com,11-50 employees,2010,Pure Essential Oils,,,,,,,Plant Therapy wants to provide the highest quality 100& pure essential oils (and accessories) at a price that everyone can afford. Order online today!,A,F,B,C,D,34,5,31,Retail,8.1
Global Efficient Energy,https://d2ojpxxtu63wzl.cloudfront.net/static/0b6e65e3ca4559aef8e9cd55e3ee0095_b6725a9d3ebdd54539553c0ecc8bb951d0045d83bee31c078c4649eed5017079,http://globalefficientenergy.com,500,2011,"Abe Issa, Climate, Energy, Foam Insulation, Gee, Global Efficient Energy, Green Living, GreenTech, HVAC, Home Energy Efficiency, Hybrid Cars, Renewables, Smart Home Automation, Sustainability, The Environment",,,,,,,"Global Efficient Energy has been a major player in the solar roofing marketing since 2011. Serving as a contractor for both residential and commercial solar and roofing projects, Global Efficient Energy takes immense pride in our work and services. There is no project too large or small that we cannot handle. Get in touch with us today for a free project quote and let us see how we can efficiently complete your project.",B,A,A,D,D,103,2,32,Energy,28.6
GoPole,https://4b0b516ccc9237533245-eea0739a33f231fb288677e0e0253b01.ssl.cf1.rackcdn.com/Featured-In/Featured_In/nytimes-logo.png,http://gopole.com,11-50 employees,2010,"Adapters, Bundles, GoPro Accessories, Grips, Mounts, Poles, Storage",,,,,,,"GoPole is the original GoPro accessory brand, offering users versatile new ways to use their GoPro cameras. Founded in 2010, GoPole is the leading third-party GoPro accessory brand worldwide and the choice for the world's top athletes and action sports filmmakers. GoPole products are available in over 50 countries, and can be found in Best Buy, Target, Fry's and Amazon.",A,F,A,D,C,45,12,33,Consumer Products & Services,9.5
The Trade Desk,https://d2ojpxxtu63wzl.cloudfront.net/static/ad7aeedc7da2f7122799a8acc396d443_c939c199ef9faf43724490fa64149097bd24007acfea4611c4e768c2170ed39c,http://thetradedesk.com,201-500 employees,2009,"Advertising, Analytics, Digital Media, Online Advertising, Software",,,,,,,"The Trade Desk powers the most sophisticated buyers in advertising technology. Founded by the pioneers of real-time bidding, The Trade Desk has become the fastest growing demand-side platform in the industry by offering agencies, aggregators, and their advertisers best-in-class technology to manage display, social, and video advertising campaigns.",B,A,A,C,C,105,13,34,Advertising & Marketing,202
AdTheorent,https://d2ojpxxtu63wzl.cloudfront.net/static/52b381a900bc8515b512117308c3fc96_6e5107c89b271722827f66798a4bc08b5d29bec2f2d72ab933482bdfdf7bab13,http://adtheorent.com,150,2011,"Adtheorent, Advertising, Advertising Network, Android, Finance, Hadoop, Iphone, Journalism, Management, Mobile, Rtb Mobile Advertising, Venture Capital",,,,,,,AdTheorent is an End to End Predictive Targeting Network with the ability to identify your brand's audience with the highest probability of engagement.,C,A,A,D,D,222,32,35,Advertising & Marketing,22.2
"Kabbage, Inc",https://d2ojpxxtu63wzl.cloudfront.net/static/8b36a1b325aabb59fc85f858c59e42be_4393fe09d0d40906fd9337e1958c0ffbc30deefb0ba6c08f477a91f7ee4ff9bf,http://kabbage.com,500,2009,"Credit, Finance, Journalism, Leadership, Management, Personal Finance",,,,,,,"A strong culture is one that is evident even to newcomers and is cultivated through dedication to a clear set of values and embodied by all members of the community. At Kabbage, we have found it is part of our DNA to care deeply. That most often entails a great degree of autonomy, freedom of voice, and respect for one another. ",B,A,A,B,C,61,4,36,Financial Services,40.1
"Seeking Health, LLC",https://d2ojpxxtu63wzl.cloudfront.net/static/0b947b3b44850d727dd47bd2a0464084_d49c6f3538c62db093e158bdadf2098f614b9e28891ce3c3fba4a38d7c080253,http://seekinghealth.com,5,2010,"Best Multivitamins, Best Probiotics, Best Supplements, Seeking Health",,,,,,,"There is a fundamental approach required to support our bodily systems which is lost to symptomatic 'treatment' focused on the suppression of symptoms vs the promotion of health. There is a reason it is called 'healthcare;' yet, given how it is currently managed, it should be called 'illcare.'",B,A,A,D,F,58,6,37,Health,6.7
SearchMarketers.com,https://d2ojpxxtu63wzl.cloudfront.net/static/05afa5048f88e632033d9f9155eb661e_120e47d813049e97d4143d772e1d9732011071ad484a61b56640c0396e13113b,http://searchmarketers.com,30,2010,"Ppc, Search Engine Advertising, Search Engine Marketing, Search Engine Rankings, Search Marketers, Search Marketing, Searchmarketers, Sem, Seo",,,,,,,"SearchMarketers, an internet marketing consultancy based in NYC and LA, professionally develops, implements, and manages paid and organic search campaigns for lead generation, eCommerce, and brand advertisers on all global search engines. Our biddable media experts work with companies of all types and sizes from start-ups, ad agencies, to enterprises.",F,F,A,F,F,387,48,38,Advertising & Marketing,10
Crest Financial,https://d2ojpxxtu63wzl.cloudfront.net/static/7554db82fc847dccfb2a66a92b005cd7_2716af687f36bb432883ddf23b76a4ff5caaec20832837ade144a1ae98a7b316,http://crestfinancial.com,500,2005,Financial Institution,,,,,,,"Crest Financial is one of the nation’s largest and fastest growing “No Credit Needed” leasing companies. Established in 2005, we’ve provided leasing to thousands of satisfied customers via numerous retail partners across the United States. We’re committed to providing more opportunity for customers, more success for retailers, more service to the community and more growth for employees than any other company in the industry.",B,F,A,D,F,122,6,39,Financial Services,115.1
Muscle up Marketing,https://media.licdn.com/media/p/2/000/103/01e/27465b9.png,http://muscleupmarketing.com,5,2011,"Get Members, HIIT Marketing, Lead Generation, Members Today, Muscle up Marketing, Personal Training Marketing, Susan Bailey",,,,,,,"We are the premier health club marketing and advertising agency in the United States. Our staff is composed of club marketing experts with extensive knowledge and experience in the health and fitness industry. Health club marketing is all we deal with and 100% of our focus goes to it, which enables us to be the best at what we do – help health clubs get new members.",F,C,F,D,F,333,43,40,Advertising & Marketing,6
"Meister Cook, LLC ",http://meistercook.com/images/mc_logo_02.jpg,http://meistercook.com,0,2006,food service and restaurant chains,,,,,,,"Meister Cook was founded in 2006 to provide food service and restaurant chains with custom-designed equipment solutions to improve the quality of food, restaurant efficiencies and to help increase sales.",F,B,F,F,F,421,5,41,Manufacturing,12.4
Audiosnax,https://d2ojpxxtu63wzl.cloudfront.net/static/2c9087cbb0e5a5c035cb2310ecf086d4_fff240cd5ba2ce410d55a1ecba86f37e6799a534c464d636399e23d98c9f764a,http://audiosnax.com,30,0,"Wireless Shower Speakers, Android Tablets, iPhone Chargers and the latest electronic products",,,,,,,AudioSnax is the leading vendor for high-end speakers. Our sound engineers are passionate about music and have spent the past two years extensively researching consumer needs in order to achieve one simple goal: create an ultra portable wireless speaker that fills a room with unrivaled quality sound. Mission accomplished.,F,F,B,F,F,446,34,42,Consumer Products & Services,6
Critical Mix,http://criticalmix.com/assets/img/logo.png,http://criticalmix.com,150,2011,"CriticalMix Data Visualization, CriticalMix Sampling, CriticalMix Survey Programming",,,,,,,"Taking everything we learned from decades of experience in developing online survey research solutions, we set forth to create a company dedicated to simplifying the data collection process. Our mission was clear - make it incredibly easy for market research firms to access high-quality data by removing the worry and hassle associated with managing quotas and deadlines.",F,A,C,D,F,356,28,43,Business Products & Services,32.8
CTC Transportation Insurance Services,http://coast-ins.com/_img/logo.png,http://coast-ins.com,11-50 employees,2009,"Auto Liability Insurance, CTC Trucking Insurance Services, Coast to Coast Trucking Insurance Services, Commercial Transportation Insurance, Commercial Trucking Insurance, Lloyds Cargo, Lloyds Physical Damage, PMA Cargo, Transportation Insurance, Trucking Insurance, Trucking Liability Insurance, Trucking Physical Damage",,,,,,,"CTC Transportation Insurance Services, LLC is headquartered in Carlsbad, California. CTC will provide the best possible service at fair prices to its agencies. CTC will maintain the highest underwriting standards while diligently analyzing losses to maintain a profitable book of business for its markets. CTC is a General Agent specializing in Transportation Insurance.",D,A,A,F,F,321,5,44,Insurance,13.8
Noonday Collection,http://cs.noondaycollection.com/pwsdata/ND/ContentImages/nd/pages/credlogo-ftf2.jpg,http://noondaycollection.com,150,2010,"Accessories, Ambassador, Artillery, Artisan, Bag, Bone, Bracelet, Bronze, Clutch, Earring, Ethical, Fair Trade, Fairtrade, Fashion, Gold, Hand Made, Handbag, Handmade, Horn, Jewelry, Natural, Necklace, Paper Bead, Party, Recycled, Responsible, Scarf, Shop, Shopping, Silver, Social, Socially, Trunk Show, Upcycled",,,,,,,"Jessica Honegger launched Noonday Collection in 2010 after she met Jalia and Daniel, talented jewelry designers in Uganda who dreamed of using fashion to create dignified jobs in their community. Jessica hosted the first Noonday Trunk Show, selling Jalia and Daniel's jewelry in her home to raise funds to adopt from Rwanda. Women fell in love with the style and story of Noonday Collection – and Jessica began to dream bigger than a fundraiser.",B,A,D,B,F,112,12,45,Retail,11.8
"JW Logistics, LLC",https://d2ojpxxtu63wzl.cloudfront.net/static/dc3ac502fb4842d3185df2f2f4133c49_41349b8ab27fc289ee89548b0e0b059a23abf1a6d0417b530835949d885a89c9,http://jwlogistics.com,201-500 employees,2011,Logistics and Supply Chain,,,,,,,"J.W. Logistics is a premier provider of last mile transportation and logistics solutions supporting regional and national customers throughout the United States. JWL offers a range of logistics solutions allowing customers to stay focused on their core business. This strategy primarily involves same-day services including on-demand, distribution, and dedicated fleets of vehicles including cargo vans, straight trucks and tractor trailers. ",F,A,C,F,F,480,12,46,Logistics & Transportation,44.9
Entrust Energy,https://www.entrustenergy.com/Themes/EntrustBootstrap/Content/Images/entrust-energy-logo.png,http://entrustenergy.com,150,2010,Utilities,,,,,,,"As a way of thanking you for your service in the U.S. Military, we are offering a $5 bill credit on every bill for as long as you are an Entrust Energy customer.",B,A,A,D,D,110,3,47,Energy,132
Gainsight,https://d2ojpxxtu63wzl.cloudfront.net/static/30798c18c7202fffc76c914c978398c7_e6c63323c3777e425341936cde0b39bbb40892fbbd906cd7947551f785277e14,http://gainsight.com,250,2009,"Adoption Management, Attrition, Bluenose Analytics, Business, Churn, Client Services, Enterprise Software, Predictive Analytics, Recurring Revenue Management, Renewal Management, Renewals, Retention, SAAS, Scout, Servicesource, Software, Totango, Voice of the Customer",,,,,,,"B2B companies have dramatically accelerated customer acquisition efforts by employing technology such as Salesforce.com, Marketo and Eloqua.  But as more businesses are paid over time, customer acquisition is merely the beginning of the story.",B,A,A,C,F,121,17,48,Software,5.5
BioPoint,https://d2ojpxxtu63wzl.cloudfront.net/static/a5f8f8b4085a56f0da1e2d45908abbc0_4f09ff7849d9bb30c24bf49895bdeaed3765b481ba53ba4f9263809feb223794,http://biopointinc.com,150,2011,"Drug Safety Consulting, Health Economics Consulting",,,,,,,BioPoint is a US-based life sciences consulting organization that brings decades of industry knowledge and expertise to our clients. Recently named #49 on the Inc. 500 list of fastest growing companies in America.,F,F,C,F,F,377,49,49,Health,7.2
